,WMAE gain,WMAE phase,WMAE bias,Bayes gain,Bayes phase,Bayes bias,OLS gain,OLS phase,OLS bias
0,18.6967285287,6.4894377281,3.2504083475,6.8147664888,4.3874483867,-6.6322947522,13.8449075933,9.7406083269,-19.1293582312
1,29.6929305587,5.3038354434,-32.833789609,18.4707021627,1.6893215874,-18.1404307279,23.077509815,1.8458817888,-68.7940114791
2,13.4352274242,1.0776852517,15.3820644707,-6.3133454913,-0.7193675304,14.7246688386,-19.5057982759,-6.8376985083,73.3770788826
3,-8.7007564734,-8.2750816843,3.1786219226,-2.3197564869,-2.8970777261,17.454169467,-14.9245751938,-2.0649020777,106.994176457
4,38.5121748874,24.295731556,-23.6648470708,19.6816452689,11.3771569149,-9.7706043594,26.4451989416,14.8192138414,-47.9241495419
5,-9.7348529401,-10.3200842308,33.6269048519,-15.657708569,-11.9695462109,26.4976248191,-18.9484605487,-12.7626193431,43.8210899906
6,-12.8570092403,0.2317395391,-4.3213473813,-3.3137338122,2.649391927,8.841126587,-18.7008038903,6.7853768919,171.7504698587
7,-3.1875689475,-1.162614921,0.2515622772,-2.5182262994,-5.2024211497,-28.2377469013,28.4582629379,-1.5649733103,-265.2674938953
8,-2.3956818664,-6.0286422202,7.560689577,6.3332341003,-2.4573874229,0.2056735133,-4.6105401115,-6.5033406993,42.7331460722
9,7.0372663802,-1.9353953026,-20.6258148969,13.2217379268,1.6503481212,-8.4753346487,12.9402768665,3.6876338289,-34.7388976208
10,-18.304295341,-6.2496774508,33.9820256459,-11.4027753457,-4.1906431746,34.7948477091,-20.3536741354,-1.6946085116,162.4497578268
11,-3.5219218557,-6.6845294147,-3.4225277222,1.3959355707,-2.6920026638,-10.0312224539,-5.1800545106,-2.7268462631,55.2722006872
12,-4.5028551028,0.5701982353,23.0065974922,3.1922132023,0.0527325946,4.7507463295,-2.9890485091,4.7100115257,102.3205485794
13,-2.1001786538,-1.7768215619,1.0666037739,-2.0892497194,-1.8322448789,3.7441082216,-4.7887628736,1.2892990458,64.482850372
14,11.1686480367,2.4024239985,-3.2842425954,17.4041459227,3.085752405,-9.6002640535,14.570963228,-2.589123581,-80.5209007273
15,-6.560439519,2.4063414677,35.4293614755,-2.2586054791,-2.1628708759,21.9887179404,1.2294672819,-9.1006369053,-106.8172542078
16,5.4968661272,4.4421813909,18.1273641198,20.1904472999,5.2784770235,10.5812659032,11.5952665068,11.3926215009,135.1226282824
17,35.3055814758,11.9361484987,-3.5950606378,31.6425553386,16.2405014501,7.4193409799,32.2729091022,24.6073130462,104.0170124935
18,8.1920123749,4.174929829,22.4006705252,9.2267916493,0.4322426561,-7.9358662139,18.0709587108,-11.1197044772,-224.3533869731
19,6.9611148578,5.4243132963,-11.5892501441,1.2797201485,5.5497121231,-4.5492191367,-14.7836165659,7.249702241,172.4346467698
20,-7.5747615238,-3.7089202284,-37.776938296,2.9704327364,-0.0013850865,-21.7949959675,10.8768185535,-0.5900654834,-122.5576422641
21,4.7216772068,6.0242393222,42.8142145332,1.4033133925,3.8342740712,36.6769829042,-7.7165442356,-3.8266971677,13.8899524425
22,-21.1031131232,-14.7772281045,-64.0677982933,-20.8765888391,-11.9573926825,-64.4070141472,-27.7519765113,-12.6269215372,-1.3253905645
23,-2.3097410464,-2.5128863663,43.6797078932,-12.0055583718,-5.9799484846,40.2423685973,-7.1166109349,-9.2826613629,-55.9025691617
24,-0.2612527052,3.1252986696,23.1184933096,8.0029451523,5.0498512703,21.4090843602,6.0754124733,-5.0826672979,-88.3963324505
25,14.6140251285,2.9772692746,-6.2982752769,14.1778348816,1.3790727958,0.2151509326,19.4849030065,13.6761012328,42.3117492165
26,-14.8618435488,0.4979475269,43.085501118,-8.6306321871,0.5333378799,30.1160449286,-0.5222425798,2.7606075754,-52.4313054559
27,18.8832655964,5.8474879696,-24.6875464274,16.5974087541,8.5121479495,4.6861363538,37.2577601943,27.0311397104,-4.5461884168
28,17.4507628346,6.4263396837,-19.0276710957,4.6693430641,0.1137809921,13.8734192888,-5.765942684,3.9951089228,145.1256721076
29,0.0864945254,-2.7800429128,-12.2739959937,-3.0599859094,-0.2489558578,-11.5012341761,-22.338996338,-10.8171995912,63.4060935207
30,-2.1415132209,0.4905496551,69.9413756284,0.1633622018,2.2298934001,55.8532788178,-2.4302039473,0.0851300821,60.765952876
31,-1.5054935774,-1.3743800646,-52.0948934525,-0.9215994516,-2.9567380743,-54.9753156547,-3.1983646711,-6.7418551369,-94.3256675088
32,-3.8053835185,-0.5538788131,3.1277334796,9.3119974385,-1.1999403166,-20.7035627919,0.9958539458,-12.6793706089,-104.3647960045
33,-16.262976879,-4.3861835181,17.6729065842,-5.7297904547,-0.6796741019,-9.3792183449,0.2835449159,-2.4571355944,-105.0550192251
34,16.8127542913,6.8590550802,-31.6705765099,17.5240647565,8.1357391331,-25.6464447992,20.0362130678,15.0768050279,30.3466002332
35,-16.4766130058,-13.0993763831,0.9620898689,0.4358344821,-3.9112029191,14.3481678126,-4.9066443188,-6.5867933623,41.2702709073
36,-5.8616292173,-9.2023886022,-16.6165824544,-2.4687402018,-6.8643910383,-5.8617540412,-16.2725006307,-9.5869134344,100.1926570654
37,-0.4948227983,4.0203569215,6.5817742132,-6.540534999,1.6293140494,13.596814603,-14.8527927968,-4.3005290098,41.6403865769
38,-6.1378381831,-4.898087785,-6.2376101188,-4.7780842666,-6.5889704581,-20.486347949,2.6000010555,-2.5036064063,-69.0571596714
39,3.5533490536,-5.3693360986,-30.7100719562,4.687485173,1.0537183299,-6.487287242,-0.2603868949,5.84713904,98.8839950195
40,-7.4626339987,-6.7379191537,26.2368929014,3.3111012866,-2.9454820731,12.950545597,4.4057476288,-10.4457129894,-77.3036489133
41,-1.3415244623,2.6099965716,17.250892207,2.0245631934,3.9584486021,0.5785772548,4.5140605756,2.2578424616,-56.0303660273
42,-0.0280467055,7.1469596272,-16.0480743418,9.5655908911,0.4264845204,-33.5636917657,2.59521083,10.7412691516,139.4777916361
43,-12.2488608714,-5.5474528273,36.6726240151,-8.072460818,-7.7522269767,38.883115862,-8.9209793421,-2.9699028601,74.3882428641
44,1.4714532006,1.6181192956,-55.9085372528,13.2370113763,11.1805387111,-55.8982977436,5.1745998758,3.5162479937,-72.6449360577
45,-8.3774515491,-3.0054620726,13.0707503645,-7.3761494824,-1.8620479032,10.8790000784,1.6615001578,4.3675586574,1.1222227242
46,-12.9948594938,-6.5647467692,39.8001906104,5.8964997705,-0.6855911635,30.2515980961,17.0670822947,-2.9435420927,-134.9972623444
47,8.5852877152,1.5839857428,15.6417550458,2.8257154662,0.8504537775,23.7164804992,3.1754154308,7.0536179716,81.0812209167
48,-5.8371738328,-4.6735012971,-31.5103757345,1.2648144247,-3.7555433444,-15.0084112565,-10.317340236,-6.5684542882,15.4376817613
49,11.1233763163,9.4641391847,31.6546575766,12.0786373499,8.4323224837,28.7366019723,14.5909028518,9.9671854902,2.5199877436
50,2.8005618575,-0.2379821665,-43.7851305302,-15.8457903106,-4.6919415665,3.0077890427,-44.9007553575,-6.4956646455,254.2311290134
51,-25.8605111629,-11.6910098204,24.5209499277,-19.0282817854,-5.508783495,6.5734634516,-29.1243553321,-10.6996482827,31.6831971758
52,-0.5712117417,-5.7980835569,-19.4549611941,2.7451138271,-4.2382531893,-15.6774403604,11.1869196053,1.6634227469,-41.3824430991
53,-4.9159113726,-11.9479107332,-27.9955286232,-3.526005595,-3.7103162056,-24.6754018845,-16.1114875845,-8.9873173492,78.7494043901
54,-10.4511347541,1.5408067056,-27.8938268377,-15.6206014176,-5.6919775001,-38.0072949592,-12.463279457,-2.9228746272,-14.3524310801
55,-2.8311628638,-2.4237165478,-29.5652391831,4.227859647,1.9116798206,-26.8149911805,17.8893397367,10.5900105074,-57.0095298124
56,8.4161167946,9.1443713164,19.3732560555,-7.2774540805,1.2878984519,39.3902401506,-9.7300278723,-2.5849616447,1.0251677757
57,-8.2530739035,-4.3850370882,19.8031699228,3.3301284173,0.7431254261,2.3673920827,2.800785459,0.7795905733,-22.4508861338
58,-5.7217525551,-8.8107599354,-64.2221991671,7.5109183093,2.0942235557,-24.1309463055,4.5210345444,3.1642406234,-9.9017654775
59,-2.6287346595,-0.3347879047,-53.9533716687,-12.7714219229,-5.2987594506,-42.43229867,-12.1873140935,4.4341472475,42.1324190112
60,-10.465807566,0.6769521273,42.9953079383,-13.4739486353,-1.4113531914,21.6843521206,-10.9207549988,3.2061095033,69.4953564578
61,10.6637289234,7.1166391023,24.4526040955,3.6496420705,1.5474892036,11.9391808394,-3.6385234204,-0.1376348192,81.8008047768
62,-15.8482871813,-2.6124701502,3.4365487453,-11.2271038256,-0.999802979,-21.1573722574,-11.4647066567,6.7979498732,80.1236003403
63,0.5147786919,0.9800091719,29.8639368143,3.176774295,-0.7889672881,20.1099472409,-2.3860580018,-0.4527541124,56.9842190826
64,-0.4189923513,-3.9123408497,-27.1405875664,14.6573663007,5.3812835348,-25.211283761,10.2728577104,1.3855857155,-47.7617577751
65,7.3370814035,-0.8070952839,-2.7370035335,-0.5346472507,-1.6028242273,21.0867938445,-6.6051683672,2.1126729555,113.4073444899
66,23.387661475,9.6232049737,-37.2583089347,6.7108009693,1.9498895068,-27.6193986481,16.6075193791,9.6681219569,-86.4216263774
67,-11.7431494789,-3.8222268491,36.5496286786,-13.9209730505,-5.1298882912,-2.315211115,-10.0078230876,-7.0727985505,-54.4201789297
68,3.6078628535,-0.8662606352,-31.270781007,-0.1008582171,-2.4934996342,-42.0984312656,-11.5054538243,-9.5477393749,-22.8260775036
69,21.1233694784,7.6154473185,-4.9259168282,13.8034295185,5.3741293245,9.9729511181,8.4658417448,1.7433044577,13.749919009
70,-6.3219058333,6.1159575252,45.2118294387,-1.7765077715,5.3159414427,14.784806419,1.2679459799,2.4138373734,-20.0032378328
71,0.8155570828,4.5289383632,15.7627279925,-3.9886900229,-1.5162343946,0.1247926737,-19.3163457534,9.441642859,254.9398881587
72,13.5211295554,4.1770109086,-33.032734014,12.5960477811,4.7826420005,-28.8222255879,12.8689095197,2.0950865975,-78.093434632
73,19.3209115534,3.6429891743,-12.5725609,16.2093216128,0.1631974547,-31.278063201,11.9189209513,-4.5578481046,-50.8189181029
74,1.682518669,5.6154985064,29.5858025315,-3.3403313457,0.1073641122,-14.6911815292,7.937557496,-1.4502515189,-153.9391751749
75,-12.8431896481,-10.2736120798,-13.5960695346,-3.3739169069,-6.2597049022,-1.0885835869,1.9399621214,-4.1852635769,-56.5333616307
76,-15.5125431825,-12.4107564976,-28.3720676051,-10.1401695106,-8.3349041225,-24.0235863486,-18.1697988562,-8.1216092689,92.8680300933
77,-23.120010166,-10.0427286514,-39.8154910659,-14.4817016117,-9.1507514348,-55.1268468477,-24.1600988663,-12.6051168299,-8.9976630343
78,-0.2377557567,1.7940895311,-5.7445254194,0.4304352493,0.9195803053,-11.4620759254,3.0579484808,1.6721506961,-39.1750344535
79,15.7804445357,7.6074556382,38.146650693,16.4872060328,9.5923128799,37.3773583921,16.5157406163,0.2351024986,-69.5031612199
80,4.0083689157,-5.3972285901,-18.616497474,-2.6194580115,-8.6410031142,-21.0343671904,-15.6539861243,-3.6959493802,140.830115695
81,3.7222757993,1.4693076128,31.4195682609,-3.9938726497,-3.3061601208,22.2289273165,-12.2181194661,-5.1076927513,48.3406052416
82,-12.5439634856,-1.1201512421,10.1673765758,-2.5781449543,-0.8859724011,-11.0801029392,-10.5788009639,-10.0440311663,-91.5185122104
83,6.2727116162,6.0979092361,46.3561921235,10.1085840833,7.1905704227,44.1531448412,22.014911451,4.2834655635,-99.6974499037
84,3.6030221967,1.4517894503,33.1200375917,0.115442339,0.9813016253,29.840370608,-0.7500462513,2.1098279011,24.2607146594
85,6.7835657509,5.0065924003,37.8331720399,10.9488621105,5.5007080064,41.6386289642,13.2493285245,7.6198450819,77.0360630344
86,7.8540132733,2.7720813862,-0.6133371496,-1.6894981701,-0.7581047933,13.1445434221,7.0475122751,10.8449615315,48.7229126873
87,1.9580792734,1.6327072431,67.0715692122,-7.8305675721,-0.6078432231,43.9035104082,-11.0024122402,-8.2409830444,-10.2096676381
88,2.1639954569,-4.7681814769,-3.6569042317,9.4040464748,2.3235984918,15.8980721186,7.0156182243,-1.524080767,5.2638088514
89,2.3646638595,4.6401806421,-14.2089069188,0.8271200799,-3.3229600165,-17.5373740081,-17.7115675125,-10.8067107471,47.7607946198
90,8.2062476497,-0.834175672,29.067721779,0.875032314,1.0982799237,8.6946979447,4.6688385437,6.5146500238,53.5287780567
91,-1.9365636662,-2.8499515199,21.1669455583,0.0609873472,0.146700697,20.8737992779,-15.0852137604,-0.3921991589,167.0808370388
92,-12.7603374309,1.9622219927,46.2952834653,-13.6669515976,-2.9032714596,37.8466794854,-1.9667452829,1.5052208354,-28.9471817919
93,-6.6417341822,-3.4660633759,9.8877809321,5.6189064008,-1.0800810938,8.7073798478,6.4258940339,4.5836100232,55.0521537014
94,-0.8981568224,6.8906169522,36.2143612855,-2.6246578837,2.2495428658,-2.8428076615,4.4339311043,-2.3952188384,-126.9481393771
95,7.4321034703,7.0865575796,-36.4192564192,2.7535689177,3.2538235009,-35.4494757113,13.3074566028,2.744865552,-148.3304590215
96,-1.2148009159,-2.2567683925,-56.0295620633,-3.2948871954,-4.3871991399,-57.8536036706,-0.3336497778,-10.7064624798,-121.9229838299
97,-7.9814310641,-0.2511456063,27.7136337941,-0.2959381393,1.9881304607,14.5803453931,13.1312579065,2.7742592678,-94.23819409
98,2.0010184704,3.4364759391,-0.5779399867,4.7515388757,6.2837124893,-4.2732588794,26.688629266,24.4217624809,-28.9593691405
99,4.8820658723,8.1605150614,-16.0930588642,8.3288741388,10.0810531646,-15.4556429661,22.8036041402,2.0148842261,-219.8222829265
